date,description,expense/income,amount
2023-10-10,Salary,Income,600.24
2023-05-31,Bonus,Income,600.24
2023-11-18,Investment Return,Income,600.24
2023-11-13,Investment Return,Income,600.24
2023-07-05,Investment Return,Income,600.24
2023-10-23,Salary,Income,600.24
2023-04-09,Bonus,Income,600.24
2023-12-27,Bonus,Income,600.24
2023-02-05,Freelancing,Income,600.24
2023-01-24,Salary,Income,600.24
2023-12-05,Salary,Income,600.24
2023-04-27,Bonus,Income,600.24
2023-05-29,Freelancing,Income,600.24
2023-02-10,Freelancing,Income,600.24
2023-04-30,Bonus,Income,600.24
2023-02-21,Investment Return,Income,600.24
2023-07-14,Salary,Income,600.24
2023-05-23,Freelancing,Income,600.24
2023-08-21,Investment Return,Income,600.24
2023-11-22,Freelancing,Income,600.24
2023-07-06,Investment Return,Income,600.24
2023-03-25,Investment Return,Income,600.24
2023-07-09,Salary,Income,600.24
2023-07-01,Freelancing,Income,600.24
2023-04-18,Freelancing,Income,600.24
2023-12-10,Investment Return,Income,600.24
2023-05-17,Bonus,Income,600.24
2023-12-26,Freelancing,Income,600.24
2023-12-16,Salary,Income,600.24
2023-11-28,Bonus,Income,600.24
2023-02-06,Freelancing,Income,600.24
2023-11-08,Salary,Income,600.24
2023-11-22,Bonus,Income,600.24
2023-03-29,Freelancing,Income,600.24
2023-10-01,Salary,Income,600.24
2023-05-06,Bonus,Income,600.24
2023-03-25,Freelancing,Income,600.24
2023-08-25,Bonus,Income,600.24
2023-07-14,Investment Return,Income,600.24
2023-05-19,Investment Return,Income,600.24
2023-11-24,Bonus,Income,600.24
2023-12-19,Investment Return,Income,600.24
2023-10-13,Investment Return,Income,600.24
2023-04-23,Bonus,Income,600.24
2023-12-17,Investment Return,Income,600.24
2023-06-16,Bonus,Income,600.24
2023-01-29,Bonus,Income,600.24
2023-04-28,Investment Return,Income,600.24
2023-01-17,Freelancing,Income,600.24
2023-06-11,Bonus,Income,600.24
2023-07-25,Bonus,Income,600.24
2023-05-18,Freelancing,Income,600.24
2023-02-03,Investment Return,Income,600.24
2023-04-19,Salary,Income,600.24
2023-10-18,Freelancing,Income,600.24
2023-06-11,Salary,Income,600.24
2023-04-19,Investment Return,Income,600.24
2023-12-02,Bonus,Income,600.24
2023-09-13,Bonus,Income,600.24
2023-07-22,Investment Return,Income,600.24
2023-11-26,Investment Return,Income,600.24
2023-08-23,Investment Return,Income,600.24
2023-03-15,Investment Return,Income,600.24
2023-05-16,Investment Return,Income,600.24
2023-03-13,Investment Return,Income,600.24
2023-05-07,Investment Return,Income,600.24
2023-10-15,Bonus,Income,600.24
2023-10-03,Salary,Income,600.24
2023-05-15,Salary,Income,600.24
2023-10-27,Bonus,Income,600.24
2023-08-08,Freelancing,Income,600.24
2023-10-26,Salary,Income,600.24
2023-07-24,Freelancing,Income,600.24
2023-07-05,Bonus,Income,600.24
2023-04-23,Freelancing,Income,600.24
2023-03-12,Bonus,Income,600.24
2023-09-18,Investment Return,Income,600.24
2023-09-10,Investment Return,Income,600.24
2023-02-16,Salary,Income,600.24
2023-01-25,Salary,Income,600.24
2023-02-26,Freelancing,Income,600.24
2023-03-20,Freelancing,Income,600.24
2023-11-18,Salary,Income,600.24
2023-03-23,Investment Return,Income,600.24
2023-12-15,Bonus,Income,600.24
2023-08-05,Investment Return,Income,600.24
2023-11-02,Salary,Income,600.24
2023-02-02,Bonus,Income,600.24
2023-07-17,Freelancing,Income,600.24
2023-07-15,Salary,Income,600.24
2023-11-02,Investment Return,Income,600.24
2023-08-28,Freelancing,Income,600.24
2023-09-28,Freelancing,Income,600.24
2023-05-09,Salary,Income,600.24
2023-10-11,Investment Return,Income,600.24
2023-01-06,Salary,Income,600.24
2023-12-15,Bonus,Income,600.24
2023-02-28,Bonus,Income,600.24
2023-12-16,Freelancing,Income,600.24
2023-10-02,Investment Return,Income,600.24
2023-05-17,Bonus,Income,600.24
2023-11-25,Bonus,Income,600.24
2023-06-24,Bonus,Income,600.24
2023-02-27,Bonus,Income,600.24
2023-05-31,Salary,Income,600.24
2023-08-11,Freelancing,Income,600.24
2023-03-22,Freelancing,Income,600.24
2023-08-21,Bonus,Income,600.24
2023-01-02,Freelancing,Income,600.24
2023-05-15,Freelancing,Income,600.24
2023-09-14,Freelancing,Income,600.24
2023-04-02,Freelancing,Income,600.24
2023-09-17,Salary,Income,600.24
2023-02-24,Bonus,Income,600.24
2023-11-17,Investment Return,Income,600.24
2023-06-02,Salary,Income,600.24
2023-11-24,Freelancing,Income,600.24
2023-09-17,Bonus,Income,600.24
2023-11-08,Bonus,Income,600.24
2023-04-12,Bonus,Income,600.24
2023-03-20,Bonus,Income,600.24
2023-07-11,Freelancing,Income,600.24
2023-03-24,Bonus,Income,600.24
2023-10-04,Investment Return,Income,600.24
2023-09-29,Investment Return,Income,600.24
2023-01-01,Bonus,Income,600.24
2023-11-03,Freelancing,Income,600.24
2023-06-15,Investment Return,Income,600.24
2023-09-08,Investment Return,Income,600.24
2023-01-10,Investment Return,Income,600.24
2023-02-27,Salary,Income,600.24
2023-07-05,Salary,Income,600.24
2023-06-07,Investment Return,Income,600.24
2023-05-03,Freelancing,Income,600.24
2023-01-30,Freelancing,Income,600.24
2023-05-04,Investment Return,Income,600.24
2023-10-18,Investment Return,Income,600.24
2023-02-10,Freelancing,Income,600.24
2023-02-13,Salary,Income,600.24
2023-09-06,Salary,Income,600.24
2023-02-05,Investment Return,Income,600.24
2023-09-30,Freelancing,Income,600.24
2023-03-06,Salary,Income,600.24
2023-03-07,Investment Return,Income,600.24
2023-12-04,Bonus,Income,600.24
2023-09-01,Investment Return,Income,600.24
2023-10-09,Bonus,Income,600.24
2023-03-26,Investment Return,Income,600.24
2023-05-16,Freelancing,Income,600.24
2023-09-28,Freelancing,Income,600.24
2023-11-07,Freelancing,Income,600.24
2023-08-05,Freelancing,Income,600.24
2023-04-19,Bonus,Income,600.24
2023-10-04,Investment Return,Income,600.24
2023-12-20,Freelancing,Income,600.24
2023-04-13,Salary,Income,600.24
2023-06-09,Salary,Income,600.24
2023-07-24,Salary,Income,600.24
2023-12-10,Investment Return,Income,600.24
2023-11-29,Salary,Income,600.24
2023-07-11,Salary,Income,600.24
2023-08-13,Bonus,Income,600.24
2023-09-22,Investment Return,Income,600.24
2023-08-20,Investment Return,Income,600.24
2023-03-03,Salary,Income,600.24
2023-05-07,Investment Return,Income,600.24
2023-04-26,Bonus,Income,600.24
2023-02-02,Bonus,Income,600.24
2023-06-23,Freelancing,Income,600.24
2023-01-11,Bonus,Income,600.24
2023-10-29,Freelancing,Income,600.24
2023-10-11,Salary,Income,600.24
2023-04-28,Freelancing,Income,600.24
2023-10-29,Freelancing,Income,600.24
2023-04-23,Salary,Income,600.24
2023-01-04,Freelancing,Income,600.24
2023-02-06,Bonus,Income,600.24
2023-12-29,Salary,Income,600.24
2023-11-20,Investment Return,Income,600.24
2023-01-31,Freelancing,Income,600.24
2023-04-28,Bonus,Income,600.24
2023-02-04,Investment Return,Income,600.24
2023-01-17,Salary,Income,600.24
2023-06-19,Salary,Income,600.24
2023-02-06,Salary,Income,600.24
2023-09-21,Bonus,Income,600.24
2023-05-02,Investment Return,Income,600.24
2023-05-23,Salary,Income,600.24
2023-12-09,Bonus,Income,600.24
2023-09-06,Bonus,Income,600.24
2023-04-20,Investment Return,Income,600.24
2023-10-04,Salary,Income,600.24
2023-03-09,Salary,Income,600.24
2023-10-20,Freelancing,Income,600.24
2023-10-23,Salary,Income,600.24
2023-08-31,Investment Return,Income,600.24
2023-05-05,Bonus,Income,600.24
2023-08-31,Investment Return,Income,600.24
2023-07-28,Salary,Income,600.24
2023-04-08,Bonus,Income,600.24
2023-02-18,Investment Return,Income,600.24
2023-02-19,Salary,Income,600.24
2023-12-04,Salary,Income,600.24
2023-08-09,Salary,Income,600.24
2023-07-01,Freelancing,Income,600.24
2023-08-05,Freelancing,Income,600.24
2023-07-30,Freelancing,Income,600.24
2023-08-28,Bonus,Income,600.24
2023-01-28,Investment Return,Income,600.24
2023-12-11,Bonus,Income,600.24
2023-12-01,Bonus,Income,600.24
2023-11-27,Salary,Income,600.24
2023-02-20,Salary,Income,600.24
2023-02-01,Bonus,Income,600.24
2023-07-26,Investment Return,Income,600.24
2023-06-23,Freelancing,Income,600.24
2023-02-25,Bonus,Income,600.24
2023-05-08,Bonus,Income,600.24
2023-04-09,Investment Return,Income,600.24
2023-04-08,Investment Return,Income,600.24
2023-10-02,Bonus,Income,600.24
2023-08-18,Salary,Income,600.24
2023-03-13,Salary,Income,600.24
2023-08-05,Bonus,Income,600.24
2023-04-04,Salary,Income,600.24
2023-05-23,Investment Return,Income,600.24
2023-08-25,Freelancing,Income,600.24
2023-05-08,Investment Return,Income,600.24
2023-02-08,Freelancing,Income,600.24
2023-08-15,Bonus,Income,600.24
2023-10-09,Bonus,Income,600.24
2023-02-20,Freelancing,Income,600.24
2023-01-26,Salary,Income,600.24
2023-11-30,Bonus,Income,600.24
2023-10-04,Freelancing,Income,600.24
2023-01-08,Salary,Income,600.24
2023-02-17,Freelancing,Income,600.24
2023-05-02,Bonus,Income,600.24
2023-03-27,Bonus,Income,600.24
2023-07-28,Investment Return,Income,600.24
2023-09-06,Freelancing,Income,600.24
2023-09-04,Salary,Income,600.24
2023-04-20,Bonus,Income,600.24
2023-07-25,Investment Return,Income,600.24
2023-01-31,Investment Return,Income,600.24
2023-03-26,Salary,Income,600.24
2023-07-14,Bonus,Income,600.24
2023-01-02,Investment Return,Income,600.24
2023-07-19,Salary,Income,600.24
2023-05-16,Salary,Income,600.24
2023-08-21,Freelancing,Income,600.24
2023-05-27,Freelancing,Income,600.24
2023-08-05,Bonus,Income,600.24
2023-12-23,Investment Return,Income,600.24
2023-10-12,Investment Return,Income,600.24
2023-12-05,Freelancing,Income,600.24
2023-09-07,Bonus,Income,600.24
2023-03-21,Investment Return,Income,600.24
2023-04-08,Salary,Income,600.24
2023-06-01,Salary,Income,600.24
2023-04-22,Salary,Income,600.24
2023-01-30,Salary,Income,600.24
2023-10-24,Freelancing,Income,600.24
2023-10-05,Bonus,Income,600.24
2023-02-01,Salary,Income,600.24
2023-06-10,Salary,Income,600.24
2023-01-30,Investment Return,Income,600.24
2023-01-26,Freelancing,Income,600.24
2023-10-27,Investment Return,Income,600.24
2023-09-02,Investment Return,Income,600.24
2023-09-15,Investment Return,Income,600.24
2023-09-29,Salary,Income,600.24
2023-03-22,Bonus,Income,600.24
2023-01-30,Freelancing,Income,600.24
2023-09-18,Salary,Income,600.24
2023-02-11,Freelancing,Income,600.24
2023-04-06,Salary,Income,600.24
2023-02-05,Bonus,Income,600.24
2023-11-01,Bonus,Income,600.24
2023-02-04,Freelancing,Income,600.24
2023-12-12,Investment Return,Income,600.24
2023-05-01,Salary,Income,600.24
2023-07-26,Freelancing,Income,600.24
2023-03-03,Investment Return,Income,600.24
2023-10-19,Bonus,Income,600.24
2023-05-07,Salary,Income,600.24
2023-10-24,Bonus,Income,600.24
2023-11-01,Salary,Income,600.24
2023-01-21,Investment Return,Income,600.24
2023-11-14,Salary,Income,600.24
2023-02-11,Investment Return,Income,600.24
2023-08-03,Salary,Income,600.24
2023-12-03,Freelancing,Income,600.24
2023-10-26,Bonus,Income,600.24
2023-10-17,Salary,Income,600.24
2023-09-25,Salary,Income,600.24
2023-06-11,Bonus,Income,600.24
2023-05-14,Salary,Income,600.24
2023-04-15,Bonus,Income,600.24
2023-12-09,Investment Return,Income,600.24
2023-06-10,Freelancing,Income,600.24
2023-05-03,Freelancing,Income,600.24
2023-05-16,Bonus,Income,600.24
2023-07-22,Freelancing,Income,600.24
2023-03-09,Bonus,Income,600.24
2023-12-10,Freelancing,Income,600.24
2023-11-27,Salary,Income,600.24
2023-06-03,Salary,Income,600.24
2023-08-23,Freelancing,Income,600.24
2023-06-11,Investment Return,Income,600.24
2023-02-07,Freelancing,Income,600.24
2023-01-05,Salary,Income,600.24
2023-08-23,Freelancing,Income,600.24
2023-11-15,Salary,Income,600.24
2023-10-16,Investment Return,Income,600.24
2023-02-21,Investment Return,Income,600.24
2023-02-07,Freelancing,Income,600.24
2023-10-03,Salary,Income,600.24
2023-04-20,Investment Return,Income,600.24
2023-09-17,Bonus,Income,600.24
2023-05-16,Freelancing,Income,600.24
2023-03-09,Bonus,Income,600.24
2023-06-28,Freelancing,Income,600.24
2023-02-05,Salary,Income,600.24
2023-05-06,Salary,Income,600.24
2023-07-09,Bonus,Income,600.24
2023-05-26,Salary,Income,600.24
2023-03-22,Salary,Income,600.24
2023-08-13,Salary,Income,600.24
2023-10-06,Bonus,Income,600.24
2023-12-27,Salary,Income,600.24
2023-06-04,Investment Return,Income,600.24
2023-11-10,Freelancing,Income,600.24
2023-12-01,Investment Return,Income,600.24
2023-09-28,Bonus,Income,600.24
2023-01-05,Bonus,Income,600.24
2023-12-08,Salary,Income,600.24
2023-10-11,Investment Return,Income,600.24
2023-06-03,Bonus,Income,600.24
2023-12-06,Freelancing,Income,600.24
2023-02-23,Bonus,Income,600.24
2023-03-10,Investment Return,Income,600.24
2023-05-16,Freelancing,Income,600.24
2023-03-01,Freelancing,Income,600.24
2023-02-24,Salary,Income,600.24
2023-10-11,Freelancing,Income,600.24
2023-03-21,Salary,Income,600.24
2023-05-20,Salary,Income,600.24
2023-05-25,Bonus,Income,600.24
2023-11-06,Bonus,Income,600.24
2023-04-18,Salary,Income,600.24
2023-06-25,Investment Return,Income,600.24
2023-04-15,Salary,Income,600.24
2023-12-18,Investment Return,Income,600.24
2023-11-21,Freelancing,Income,600.24
2023-05-16,Freelancing,Income,600.24
2023-09-16,Freelancing,Income,600.24
2023-09-08,Salary,Income,600.24
2023-05-09,Investment Return,Income,600.24
2023-01-27,Salary,Income,600.24
2023-02-17,Freelancing,Income,600.24
2023-11-21,Bonus,Income,600.24
2023-08-05,Freelancing,Income,600.24
2023-05-22,Freelancing,Income,600.24
2023-01-23,Bonus,Income,600.24
2023-01-02,Investment Return,Income,600.24
2023-06-20,Freelancing,Income,600.24
2023-03-08,Investment Return,Income,600.24
2023-11-23,Bonus,Income,600.24
2023-05-15,Bonus,Income,600.24
2023-03-24,Bonus,Income,600.24
2023-08-15,Salary,Income,600.24
2023-10-10,Investment Return,Income,600.24
2023-12-28,Salary,Income,600.24
2023-08-07,Bonus,Income,600.24
2023-10-15,Freelancing,Income,600.24
2023-01-05,Salary,Income,600.24
2023-02-27,Freelancing,Income,600.24
2023-02-08,Salary,Income,600.24
2023-12-20,Investment Return,Income,600.24
2023-03-18,Freelancing,Income,600.24
2023-10-07,Salary,Income,600.24
2023-01-19,Bonus,Income,600.24
2023-07-09,Bonus,Income,600.24
2023-10-26,Investment Return,Income,600.24
2023-10-10,Investment Return,Income,600.24
2023-03-17,Salary,Income,600.24
2023-08-09,Bonus,Income,600.24
2023-03-07,Freelancing,Income,600.24
2023-01-22,Salary,Income,600.24
2023-06-07,Salary,Income,600.24
2023-07-06,Bonus,Income,600.24
2023-01-21,Investment Return,Income,600.24
2023-07-03,Freelancing,Income,600.24
2023-04-18,Investment Return,Income,600.24
2023-12-16,Salary,Income,600.24
2023-05-08,Salary,Income,600.24
2023-12-08,Bonus,Income,600.24
2023-02-22,Investment Return,Income,600.24
2023-07-01,Salary,Income,600.24
2023-10-14,Salary,Income,600.24
2023-07-28,Investment Return,Income,600.24
2023-11-14,Bonus,Income,600.24
2023-03-21,Bonus,Income,600.24
2023-05-02,Freelancing,Income,600.24
2023-03-25,Freelancing,Income,600.24
2023-04-01,Freelancing,Income,600.24
2023-07-31,Investment Return,Income,600.24
2023-01-13,Freelancing,Income,600.24
2023-04-02,Freelancing,Income,600.24
2023-06-20,Investment Return,Income,600.24
2023-07-30,Freelancing,Income,600.24
2023-12-09,Bonus,Income,600.24
2023-05-08,Salary,Income,600.24
2023-05-17,Bonus,Income,600.24
2023-03-23,Bonus,Income,600.24
2023-12-26,Salary,Income,600.24
2023-02-25,Bonus,Income,600.24
2023-07-15,Salary,Income,600.24
2023-01-20,Bonus,Income,600.24
2023-08-29,Investment Return,Income,600.24
2023-04-24,Investment Return,Income,600.24
2023-04-13,Freelancing,Income,600.24
2023-08-24,Investment Return,Income,600.24
2023-06-29,Salary,Income,600.24
2023-06-06,Freelancing,Income,600.24
2023-04-27,Bonus,Income,600.24
2023-04-25,Investment Return,Income,600.24
2023-01-13,Freelancing,Income,600.24
2023-12-04,Investment Return,Income,600.24
2023-04-09,Freelancing,Income,600.24
2023-07-24,Salary,Income,600.24
2023-06-18,Salary,Income,600.24
2023-05-23,Bonus,Income,600.24
2023-02-05,Freelancing,Income,600.24
2023-05-23,Salary,Income,600.24
2023-06-29,Bonus,Income,600.24
2023-11-25,Freelancing,Income,600.24
2023-09-18,Bonus,Income,600.24
2023-07-24,Salary,Income,600.24
2023-12-14,Bonus,Income,600.24
2023-10-02,Freelancing,Income,600.24
2023-06-19,Investment Return,Income,600.24
2023-01-15,Salary,Income,600.24
2023-03-01,Freelancing,Income,600.24
2023-05-14,Freelancing,Income,600.24
2023-04-02,Bonus,Income,600.24
2023-10-25,Salary,Income,600.24
2023-05-16,Investment Return,Income,600.24
2023-01-20,Investment Return,Income,600.24
2023-02-25,Bonus,Income,600.24
2023-11-02,Salary,Income,600.24
2023-08-11,Investment Return,Income,600.24
2023-06-26,Salary,Income,600.24
2023-06-10,Bonus,Income,600.24
2023-08-12,Salary,Income,600.24
2023-11-07,Salary,Income,600.24
2023-09-19,Salary,Income,600.24
2023-03-01,Bonus,Income,600.24
2023-07-17,Bonus,Income,600.24
2023-10-23,Bonus,Income,600.24
2023-04-08,Investment Return,Income,600.24
2023-05-11,Freelancing,Income,600.24
2023-01-23,Salary,Income,600.24
2023-12-29,Freelancing,Income,600.24
2023-08-12,Salary,Income,600.24
2023-01-01,Salary,Income,600.24
2023-09-24,Salary,Income,600.24
2023-10-03,Bonus,Income,600.24
2023-12-18,Investment Return,Income,600.24
2023-12-10,Bonus,Income,600.24
2023-04-11,Salary,Income,600.24
2023-07-06,Freelancing,Income,600.24
2023-08-09,Salary,Income,600.24
2023-02-05,Salary,Income,600.24
2023-12-07,Investment Return,Income,600.24
2023-06-19,Salary,Income,600.24
2023-11-16,Bonus,Income,600.24
2023-06-10,Investment Return,Income,600.24
2023-12-06,Investment Return,Income,600.24
2023-03-05,Investment Return,Income,600.24
2023-06-03,Salary,Income,600.24
2023-09-17,Investment Return,Income,600.24
2023-06-08,Investment Return,Income,600.24
2023-12-08,Bonus,Income,600.24
2023-07-29,Freelancing,Income,600.24
2023-06-17,Bonus,Income,600.24
2023-07-26,Bonus,Income,600.24
2023-12-23,Freelancing,Income,600.24
2023-06-01,Freelancing,Income,600.24
2023-10-11,Investment Return,Income,600.24
2023-03-07,Bonus,Income,600.24
2023-04-09,Salary,Income,600.24
2023-08-04,Bonus,Income,600.24
2023-12-07,Freelancing,Income,600.24
2023-07-14,Investment Return,Income,600.24
2023-12-13,Investment Return,Income,600.24
2023-03-31,Investment Return,Income,600.24
2023-11-12,Salary,Income,600.24
2023-10-19,Salary,Income,600.24
2023-06-04,Freelancing,Income,600.24
2023-07-27,Investment Return,Income,600.24
2023-10-08,Bonus,Income,600.24
2023-01-01,Investment Return,Income,600.24
2023-06-05,Bonus,Income,600.24
2023-05-27,Bonus,Income,600.24
2023-04-18,Salary,Income,600.24
2023-08-09,Investment Return,Income,600.24
2023-10-24,Freelancing,Income,600.24
2023-11-07,Investment Return,Income,600.24
2023-12-02,Investment Return,Income,600.24
2023-06-14,Freelancing,Income,600.24
2023-08-27,Freelancing,Income,600.24
2023-08-15,Investment Return,Income,600.24
2023-08-15,Freelancing,Income,600.24
2023-12-12,Bonus,Income,600.24
2023-04-20,Salary,Income,600.24
2023-09-19,Freelancing,Income,600.24
2023-08-31,Bonus,Income,600.24
2023-03-28,Salary,Income,600.24
2023-12-04,Freelancing,Income,600.24
2023-02-13,Salary,Income,600.24
2023-05-26,Investment Return,Income,600.24
2023-09-21,Freelancing,Income,600.24
2023-12-06,Bonus,Income,600.24
2023-11-21,Bonus,Income,600.24
2023-11-14,Salary,Income,600.24
2023-06-21,Bonus,Income,600.24
2023-02-17,Bonus,Income,600.24
2023-05-01,Freelancing,Income,600.24
2023-12-11,Salary,Income,600.24
2023-06-08,Bonus,Income,600.24
2023-04-26,Investment Return,Income,600.24
2023-04-12,Freelancing,Income,600.24
2023-03-17,Bonus,Income,600.24
2023-01-13,Bonus,Income,600.24
2023-01-24,Bonus,Income,600.24
2023-05-06,Freelancing,Income,600.24
2023-09-01,Freelancing,Income,600.24
2023-11-09,Salary,Income,600.24
2023-02-07,Freelancing,Income,600.24
2023-08-22,Bonus,Income,600.24
2023-08-01,Bonus,Income,600.24
2023-11-19,Investment Return,Income,600.24
2023-10-22,Freelancing,Income,600.24
2023-04-10,Bonus,Income,600.24
2023-12-23,Investment Return,Income,600.24
2023-07-16,Salary,Income,600.24
2023-09-11,Salary,Income,600.24
2023-07-24,Salary,Income,600.24
2023-05-05,Bonus,Income,600.24
2023-03-17,Bonus,Income,600.24
2023-12-02,Salary,Income,600.24
2023-12-19,Investment Return,Income,600.24
2023-01-03,Salary,Income,600.24
2023-02-24,Freelancing,Income,600.24
2023-08-06,Bonus,Income,600.24
2023-04-23,Bonus,Income,600.24
2023-04-01,Freelancing,Income,600.24
2023-12-23,Bonus,Income,600.24
2023-09-23,Freelancing,Income,600.24
2023-08-26,Salary,Income,600.24
2023-01-26,Salary,Income,600.24
2023-10-13,Bonus,Income,600.24
2023-05-08,Bonus,Income,600.24
2023-03-04,Salary,Income,600.24
2023-08-22,Freelancing,Income,600.24
2023-03-10,Salary,Income,600.24
2023-08-26,Freelancing,Income,600.24
2023-12-08,Investment Return,Income,600.24
2023-09-29,Salary,Income,600.24
2023-10-14,Freelancing,Income,600.24
2023-11-01,Freelancing,Income,600.24
2023-06-12,Freelancing,Income,600.24
2023-08-15,Bonus,Income,600.24
2023-11-10,Bonus,Income,600.24
2023-09-16,Investment Return,Income,600.24
2023-08-07,Investment Return,Income,600.24
2023-10-08,Freelancing,Income,600.24
2023-08-17,Bonus,Income,600.24
2023-03-23,Freelancing,Income,600.24
2023-09-01,Bonus,Income,600.24
2023-08-19,Bonus,Income,600.24
2023-05-13,Investment Return,Income,600.24
2023-05-07,Freelancing,Income,600.24
2023-11-23,Freelancing,Income,600.24
2023-05-22,Bonus,Income,600.24
2023-09-24,Bonus,Income,600.24
2023-09-06,Salary,Income,600.24
2023-11-17,Investment Return,Income,600.24
2023-05-03,Salary,Income,600.24
2023-05-21,Bonus,Income,600.24
2023-08-14,Freelancing,Income,600.24
2023-02-09,Bonus,Income,600.24
2023-05-27,Salary,Income,600.24
2023-05-01,Investment Return,Income,600.24
2023-05-20,Bonus,Income,600.24
2023-06-21,Freelancing,Income,600.24
2023-06-13,Salary,Income,600.24
2023-10-04,Bonus,Income,600.24
2023-02-11,Freelancing,Income,600.24
2023-03-12,Freelancing,Income,600.24
2023-03-19,Bonus,Income,600.24
2023-04-29,Salary,Income,600.24
2023-07-16,Freelancing,Income,600.24
2023-12-22,Investment Return,Income,600.24
2023-03-20,Salary,Income,600.24
2023-12-28,Freelancing,Income,600.24
2023-04-20,Bonus,Income,600.24
2023-02-02,Bonus,Income,600.24
2023-08-01,Salary,Income,600.24
2023-07-28,Freelancing,Income,600.24
2023-06-19,Freelancing,Income,600.24
2023-10-05,Salary,Income,600.24
2023-08-27,Salary,Income,600.24
2023-08-01,Salary,Income,600.24
2023-02-01,Investment Return,Income,600.24
2023-04-16,Investment Return,Income,600.24
2023-08-04,Investment Return,Income,600.24
2023-07-19,Bonus,Income,600.24
2023-10-27,Investment Return,Income,600.24
2023-12-23,Investment Return,Income,600.24
2023-01-11,Investment Return,Income,600.24
2023-10-22,Freelancing,Income,600.24
2023-07-14,Investment Return,Income,600.24
2023-09-02,Salary,Income,600.24
2023-01-04,Investment Return,Income,600.24
2023-06-30,Bonus,Income,600.24
2023-06-02,Bonus,Income,600.24
2023-07-19,Investment Return,Income,600.24
2023-08-03,Salary,Income,600.24
2023-10-03,Salary,Income,600.24
2023-10-07,Freelancing,Income,600.24
2023-11-05,Salary,Income,600.24
2023-04-23,Freelancing,Income,600.24
2023-09-07,Freelancing,Income,600.24
2023-04-23,Salary,Income,600.24
2023-05-20,Salary,Income,600.24
2023-08-12,Freelancing,Income,600.24
2023-09-06,Bonus,Income,600.24
2023-01-15,Investment Return,Income,600.24
2023-07-19,Bonus,Income,600.24
2023-06-22,Salary,Income,600.24
2023-12-09,Salary,Income,600.24
2023-12-14,Freelancing,Income,600.24
2023-07-27,Investment Return,Income,600.24
2023-03-26,Salary,Income,600.24
2023-08-28,Investment Return,Income,600.24
2023-03-07,Bonus,Income,600.24
2023-11-15,Investment Return,Income,600.24
2023-10-01,Bonus,Income,600.24
2023-01-14,Salary,Income,600.24
2023-07-21,Salary,Income,600.24
2023-10-31,Freelancing,Income,600.24
2023-10-16,Bonus,Income,600.24
2023-12-06,Bonus,Income,600.24
2023-01-14,Investment Return,Income,600.24
2023-02-12,Freelancing,Income,600.24
2023-11-26,Freelancing,Income,600.24
2023-08-08,Freelancing,Income,600.24
2023-03-11,Bonus,Income,600.24
2023-08-25,Salary,Income,600.24
2023-04-04,Salary,Income,600.24
2023-01-26,Investment Return,Income,600.24
2023-05-14,Investment Return,Income,600.24
2023-07-14,Bonus,Income,600.24
2023-06-17,Salary,Income,600.24
2023-04-19,Freelancing,Income,600.24
2023-08-21,Salary,Income,600.24
2023-06-17,Investment Return,Income,600.24
2023-06-22,Salary,Income,600.24
2023-07-14,Freelancing,Income,600.24
2023-05-23,Investment Return,Income,600.24
