date,description,expense/income,amount
2023-02-08,Cashback,Income,
2023-10-10,Swiggy Order,Expense,4971.0
2023-12-16,Monthly Salary,Income,37535.0
2023-05-02,Interest Received,Income,30257.0
2023-06-20,Amazon Purchase,Expense,
2023-03-23,Refund,Income,44970.0
2023-06-29,Interest Received,Income,70332.0
2023-06-18,Swiggy Order,Expense,3464.0
2023-12-14,Freelance Payment,Income,62386.0
2023-04-02,Monthly Salary,Income,44237.0
2023-08-12,Grocery Store,Expense,2769.0
2023-12-29,Cashback,Income,15817.0
2023-07-06,Refund,Income,35825.0
2023-06-03,Grocery Store,Expense,1220.0
2023-08-04,Electricity Bill,Expense,1771.0
2023-07-27,Bonus,Income,49446.0
2023-08-27,Interest Received,Income,52237.0
2023-09-21,Uber Ride,Expense,2524.0
2023-04-12,Bonus,Income,39444.0
2023-08-22,Cashback,Income,19545.0
2023-05-05,Refund,Income,62383.0
2023-04-01,Zomato Order,Expense,1992.0
2023-08-22,Movie Tickets,Expense,1194.0
2023-11-10,Cashback,Income,68008.0
2023-09-01,Movie Tickets,Expense,1503.0
2023-09-06,Electricity Bill,Expense,4470.0
2023-06-13,Freelance Payment,Income,54020.0
2023-02-02,Interest Received,Income,38043.0
2023-07-19,Monthly Salary,Income,65069.0
2023-06-30,Cashback,Income,10772.0
2023-09-07,Interest Received,Income,38906.0
2023-03-26,,Income,62994.0
2023-07-21,Movie Tickets,Expense,
04-04-2023,Amazon Purchase,Expense,3982.0
2023-05-23,Freelance Payment,Income,59692.0
2023-01-27,Zomato Order,Expense,4618.0
2023-05-07,Refund,Income,14067.0
2023-10-16,Bonus,Income,24993.0
2023-03-25,Freelance Payment,Income,25012.0
2023-07-23,,Income,59192.0
2023-12-17,Refund,Income,49529.0
2023-12-05,Monthly Salary,Income,66148.0
2023-08-10,Interest Received,Income,23833.0
2023-09-25,Refund,Income,33086.0
2023-08-12,Cashback,Income,70931.0
2023-05-23,Bonus,Income,21359.0
2023-01-15,Cashback,Income,54092.0
2023-05-24,Freelance Payment,Income,54608.0
2023-02-13,Swiggy Order,Expense,1765.0
2023-08-18,Bonus,Income,74332.0
2023-08-31,Refund,Income,58368.0
2023-05-19,Cashback,Income,69473.0
2023-04-09,Freelance Payment,Income,34267.0
2023-04-10,Cashback,Income,23176.0
2023-01-24,Refund,Income,45954.0
2023-02-22,Bonus,Income,74340.0
2023-05-10,Interest Received,Income,16734.0
2023-03-19,Interest Received,Income,17026.0
2023-11-07,Bonus,Income,64548.0
2023-06-02,Interest Received,Income,68028.0
2023-04-17,Grocery Store,Expense,1012.0
22-03-2023,Bonus,Income,19838.0
2023-12-28,Freelance Payment,Income,47762.0
2023-10-29,Fuel Payment,Expense,5320.0
2023-05-17,Movie Tickets,Expense,1420.0
2023-08-13,Freelance Payment,Income,47828.0
13-08-2023,Electricity Bill,Expense,4245.0
2023-02-16,Freelance Payment,Income,13390.0
2023-05-18,Grocery Store,Expense,5707.0
2023-04-03,Movie Tickets,Expense,2478.0
2023-06-20,Monthly Salary,Income,63523.0
2023-12-06,Interest Received,Income,47777.0
2023-06-15,Medical Store,Expense,2267.0
2023-08-25,Swiggy Order,Expense,4644.0
2023-04-15,Interest Received,Income,16764.0
2023-11-19,Refund,Income,13783.0
28-07-2023,Cashback,Income,
2023-03-20,Medical Store,Expense,5506.0
2023-08-30,Electricity Bill,Expense,4152.0
2023-02-05,Cashback,Income,27892.0
2023-05-25,Movie Tickets,Expense,221.0
2023-10-03,Medical Store,Expense,3858.0
2023-04-07,Interest Received,Income,52176.0
2023-12-28,Interest Received,Income,71993.0
2023-01-19,Refund,Income,74923.0
2023-02-21,Zomato Order,Expense,3806.0
2023-02-08,Interest Received,Income,30232.0
2023-12-12,Amazon Purchase,Expense,2891.0
05-10-2023,Refund,Income,73956.0
2023-08-11,Freelance Payment,Income,21846.0
2023-06-03,Zomato Order,Expense,5885.0
2023-03-16,Freelance Payment,Income,66450.0
2023-11-09,Bonus,Income,20350.0
2023-11-23,Cashback,Income,70443.0
2023-12-13,,Income,47700.0
2023-12-20,Cashback,Income,65615.0
2023-05-02,Amazon Purchase,Expense,1073.0
21-05-2023,Refund,Income,61879.0
2023-05-27,Swiggy Order,Expense,4269.0
2023-12-14,Bonus,Income,42850.0
27-11-2023,Uber Ride,Expense,5340.0
2023-06-01,Netflix Subscription,Expense,938.0
2023-09-29,Cashback,Income,57953.0
2023-06-23,Interest Received,Income,48684.0
2023-10-13,Bonus,Income,62089.0
2023-07-08,,Expense,3925.0
30-08-2023,Netflix Subscription,Expense,2115.0
2023-11-22,Grocery Store,Expense,717.0
2023-01-20,Amazon Purchase,Expense,571.0
2023-07-09,Cashback,Income,69459.0
2023-08-01,Amazon Purchase,Expense,1465.0
2023-04-22,Electricity Bill,Expense,3235.0
2023-10-06,Zomato Order,Expense,3209.0
21-08-2023,Freelance Payment,Income,26011.0
2023-05-05,Monthly Salary,Income,53713.0
2023-04-30,Movie Tickets,Expense,1969.0
2023-03-08,Monthly Salary,Income,28964.0
2023-05-02,Swiggy Order,Expense,3134.0
2023-02-28,Bonus,Income,78955.0
2023-09-15,Cashback,Income,69245.0
2023-11-26,Refund,Income,70036.0
2023-09-09,Interest Received,Income,24150.0
2023-03-06,Freelance Payment,Income,18609.0
2023-05-31,Freelance Payment,Income,79541.0
2023-08-09,Refund,Income,38183.0
2023-06-10,Interest Received,Income,22463.0
04-02-2023,Uber Ride,Expense,4085.0
12-10-2023,Refund,Income,27054.0
2023-08-05,Zomato Order,Expense,5650.0
2023-10-23,Grocery Store,Expense,1048.0
2023-02-28,Monthly Salary,Income,58176.0
2023-11-08,Cashback,Income,13441.0
2023-06-23,Uber Ride,Expense,2731.0
2023-11-21,Refund,Income,28595.0
2023-03-22,Interest Received,Income,54681.0
2023-03-21,Grocery Store,Expense,630.0
2023-09-06,Freelance Payment,Income,65576.0
2023-02-26,Cashback,Income,66349.0
03-11-2023,Electricity Bill,Expense,3437.0
2023-06-17,Bonus,Income,47938.0
2023-09-14,Bonus,Income,40161.0
12-08-2023,Amazon Purchase,Expense,546.0
2023-12-30,Grocery Store,Expense,3513.0
2023-12-20,Freelance Payment,Income,70305.0
26-09-2023,Bonus,Income,62487.0
2023-02-09,Fuel Payment,Expense,1577.0
2023-05-01,Freelance Payment,Income,29358.0
2023-04-01,Bonus,Income,19876.0
2023-12-15,Cashback,Income,68838.0
2023-03-19,Cashback,Income,51436.0
17-09-2023,Freelance Payment,Income,56129.0
2023-11-27,Freelance Payment,Income,20057.0
2023-10-11,Movie Tickets,Expense,4954.0
2023-11-06,Grocery Store,Expense,2833.0
2023-02-13,Monthly Salary,Income,55015.0
2023-09-25,Interest Received,Income,78690.0
2023-12-14,Interest Received,Income,54350.0
2023-12-14,Zomato Order,Expense,4770.0
2023-02-11,Cashback,Income,53694.0
2023-03-08,Refund,Income,61374.0
2023-03-07,Amazon Purchase,Expense,2890.0
2023-08-05,Movie Tickets,Expense,5692.0
2023-04-09,Bonus,Income,73736.0
2023-01-20,Monthly Salary,Income,79013.0
2023-04-03,Grocery Store,Expense,1529.0
2023-07-30,Uber Ride,Expense,557.0
2023-04-30,Grocery Store,Expense,3877.0
2023-07-08,Interest Received,Income,35430.0
2023-09-28,Freelance Payment,Income,75916.0
2023-01-27,Cashback,Income,42768.0
2023-03-05,Zomato Order,Expense,4426.0
2023-02-16,Movie Tickets,Expense,3783.0
2023-01-28,Freelance Payment,Income,64381.0
2023-06-13,Monthly Salary,Income,13694.0
2023-08-30,Uber Ride,Expense,2550.0
2023-01-10,Interest Received,Income,20384.0
2023-05-28,Grocery Store,Expense,1110.0
2023-02-02,Refund,Income,69914.0
2023-05-04,Swiggy Order,Expense,4910.0
2023-04-06,,Income,64600.0
2023-09-17,Monthly Salary,Income,76496.0
2023-05-10,Refund,Income,58929.0
2023-10-25,Bonus,Income,23587.0
2023-12-17,Cashback,Income,32949.0
2023-01-19,Uber Ride,Expense,3949.0
2023-09-21,Monthly Salary,Income,50642.0
2023-05-27,Swiggy Order,Expense,1765.0
2023-08-12,Netflix Subscription,Expense,3214.0
2023-09-12,Amazon Purchase,Expense,1730.0
2023-02-10,Freelance Payment,Income,65640.0
2023-06-17,Electricity Bill,Expense,855.0
2023-06-29,Interest Received,Income,68183.0
2023-11-24,Grocery Store,Expense,2449.0
2023-03-23,Amazon Purchase,Expense,5765.0
2023-05-01,Interest Received,Income,18812.0
2023-12-14,Cashback,Income,30111.0
2023-07-07,Monthly Salary,Income,79397.0
2023-04-06,Monthly Salary,Income,
2023-04-20,Freelance Payment,Income,68493.0
2023-02-07,Interest Received,Income,27790.0
2023-12-08,Zomato Order,Expense,2818.0
2023-07-05,Freelance Payment,Income,32818.0
2023-01-14,Bonus,Income,74752.0
2023-02-03,Cashback,Income,21300.0
22-10-2023,Movie Tickets,Expense,3554.0
2023-06-26,Medical Store,Expense,4438.0
2023-08-10,Grocery Store,Expense,1257.0
2023-03-24,Movie Tickets,Expense,1548.0
2023-05-09,Movie Tickets,Expense,846.0
2023-09-15,Electricity Bill,Expense,965.0
16-10-2023,Bonus,Income,54252.0
2023-10-20,Grocery Store,Expense,1926.0
2023-09-05,Refund,Income,49596.0
2023-03-22,Medical Store,Expense,690.0
2023-06-26,Cashback,Income,51853.0
2023-08-27,Cashback,Income,41685.0
2023-11-12,Monthly Salary,Income,60351.0
2023-04-08,Netflix Subscription,Expense,2761.0
12-01-2023,Interest Received,Income,75191.0
25-01-2023,Bonus,Income,56254.0
02-10-2023,Refund,Income,47453.0
07-07-2023,Freelance Payment,Income,62855.0
2023-07-17,Freelance Payment,Income,19637.0
2023-03-07,Grocery Store,Expense,1173.0
2023-03-15,Freelance Payment,Income,57920.0
2023-08-31,Monthly Salary,Income,53652.0
2023-03-25,Bonus,Income,51750.0
2023-09-30,Cashback,Income,76809.0
2023-08-02,Monthly Salary,Income,24366.0
2023-12-02,Swiggy Order,Expense,2375.0
2023-09-26,Swiggy Order,Expense,1596.0
2023-01-17,Bonus,Income,41745.0
2023-07-31,Medical Store,Expense,1440.0
2023-12-28,Interest Received,Income,18163.0
2023-06-10,Refund,Income,59391.0
2023-11-09,Cashback,Income,44650.0
2023-05-28,Electricity Bill,Expense,2638.0
2023-05-28,Medical Store,Expense,2440.0
29-05-2023,Amazon Purchase,Expense,1399.0
2023-04-20,Medical Store,Expense,4124.0
2023-11-12,Refund,Income,24316.0
2023-01-27,Cashback,Income,40518.0
2023-10-09,Refund,Income,10679.0
2023-05-28,Interest Received,Income,36143.0
2023-10-01,Monthly Salary,Income,40437.0
2023-01-19,Uber Ride,Expense,1640.0
20-01-2023,Refund,Income,47941.0
2023-09-10,Freelance Payment,Income,78723.0
2023-06-19,Freelance Payment,Income,24764.0
2023-06-22,Bonus,Income,
2023-08-07,Bonus,Income,63148.0
2023-06-15,Bonus,Income,72580.0
2023-06-04,Interest Received,Income,53204.0
2023-12-08,Freelance Payment,Income,18142.0
2023-12-20,Cashback,Income,50760.0
2023-09-02,Grocery Store,Expense,1294.0
2023-10-03,Amazon Purchase,Expense,4057.0
2023-09-27,Grocery Store,Expense,870.0
2023-09-16,Grocery Store,Expense,4686.0
2023-10-26,Cashback,Income,36922.0
2023-08-01,Swiggy Order,Expense,4404.0
2023-05-11,Freelance Payment,Income,61897.0
2023-02-02,Swiggy Order,Expense,5937.0
2023-04-03,Interest Received,Income,63591.0
2023-08-18,Amazon Purchase,Expense,3333.0
2023-03-02,Movie Tickets,Expense,3048.0
2023-01-12,Refund,Income,10455.0
2023-05-07,Interest Received,Income,40102.0
2023-12-05,Refund,Income,14222.0
2023-02-21,Swiggy Order,Expense,751.0
2023-07-25,Monthly Salary,Income,15798.0
2023-04-30,Monthly Salary,Income,47914.0
2023-05-02,Grocery Store,Expense,2826.0
2023-02-01,Bonus,Income,46064.0
2023-10-12,Bonus,Income,65994.0
2023-12-23,Amazon Purchase,Expense,2811.0
2023-06-03,Cashback,Income,39536.0
2023-10-13,Monthly Salary,Income,64592.0
09-07-2023,Freelance Payment,Income,68954.0
05-11-2023,Electricity Bill,Expense,5155.0
2023-09-03,Cashback,Income,38444.0
2023-03-02,Swiggy Order,Expense,1756.0
2023-05-03,Grocery Store,Expense,3449.0
2023-05-14,Movie Tickets,Expense,2726.0
2023-04-15,Medical Store,Expense,2823.0
2023-05-14,Bonus,Income,12125.0
2023-04-28,Freelance Payment,Income,53236.0
2023-11-25,Netflix Subscription,Expense,4202.0
2023-04-05,Freelance Payment,Income,74004.0
09-12-2023,Monthly Salary,Income,19742.0
2023-01-05,Refund,Income,29795.0
2023-12-04,Refund,Income,73334.0
2023-05-21,Monthly Salary,Income,
2023-02-24,Refund,Income,33496.0
2023-05-17,Cashback,Income,56457.0
2023-06-03,Interest Received,Income,39603.0
2023-07-13,Swiggy Order,Expense,3306.0
2023-08-11,,Income,75517.0
2023-04-28,Monthly Salary,Income,15577.0
2023-12-17,Medical Store,Expense,809.0
2023-01-09,Swiggy Order,Expense,2776.0
2023-06-03,Refund,Income,20084.0
2023-07-16,Interest Received,Income,53480.0
28-01-2023,Refund,Income,55332.0
17-06-2023,Cashback,Income,61996.0
2023-08-10,Interest Received,Income,59207.0
07-02-2023,Cashback,Income,42302.0
2023-06-12,Refund,Income,61068.0
2023-02-22,Interest Received,Income,45358.0
14-01-2023,Cashback,Income,23538.0
2023-05-30,Freelance Payment,Income,11617.0
2023-10-20,Movie Tickets,Expense,2188.0
16-03-2023,Electricity Bill,Expense,4239.0
2023-05-09,Interest Received,Income,57333.0
2023-03-11,Grocery Store,Expense,1076.0
2023-08-14,Grocery Store,Expense,2899.0
2023-11-05,Grocery Store,Expense,2826.0
2023-12-22,Interest Received,Income,48200.0
2023-07-06,Netflix Subscription,Expense,3418.0
2023-08-25,Cashback,Income,13527.0
2023-12-11,Refund,Income,63627.0
13-07-2023,Refund,Income,65460.0
2023-08-03,Amazon Purchase,Expense,5866.0
2023-02-25,Movie Tickets,Expense,896.0
2023-12-13,Grocery Store,Expense,5484.0
2023-05-13,Amazon Purchase,Expense,1007.0
2023-07-20,Grocery Store,Expense,3264.0
2023-09-05,Uber Ride,Expense,401.0
2023-06-28,Monthly Salary,Income,28569.0
2023-08-13,Interest Received,Income,22795.0
2023-01-12,Monthly Salary,Income,25084.0
2023-09-22,Bonus,Income,41970.0
2023-11-19,Interest Received,Income,63090.0
2023-08-19,Monthly Salary,Income,35863.0
2023-10-23,Bonus,Income,18200.0
2023-05-15,Netflix Subscription,Expense,1133.0
2023-10-28,Freelance Payment,Income,61451.0
2023-11-11,Bonus,Income,48986.0
2023-07-11,Fuel Payment,Expense,1699.0
2023-04-06,Bonus,Income,65448.0
2023-05-28,Bonus,Income,74178.0
2023-09-06,Monthly Salary,Income,11256.0
2023-12-17,Movie Tickets,Expense,3551.0
2023-04-23,Uber Ride,Expense,452.0
2023-10-09,Bonus,Income,74921.0
2023-10-05,Cashback,Income,58085.0
2023-02-22,Cashback,Income,65725.0
2023-02-14,Swiggy Order,Expense,3055.0
2023-12-19,Fuel Payment,Expense,5016.0
2023-04-16,Uber Ride,Expense,1892.0
2023-12-27,Cashback,Income,52421.0
2023-03-11,Cashback,Income,22481.0
2023-12-26,Electricity Bill,Expense,1239.0
2023-09-08,Bonus,Income,61472.0
2023-07-26,Interest Received,Income,22202.0
2023-06-17,Freelance Payment,Income,73968.0
2023-11-22,Zomato Order,Expense,3955.0
2023-04-19,Cashback,Income,66314.0
2023-06-25,Cashback,Income,73614.0
2023-03-22,Medical Store,Expense,
2023-11-29,Bonus,Income,27290.0
2023-02-12,Zomato Order,Expense,2251.0
2023-04-30,Amazon Purchase,Expense,5929.0
2023-10-31,Bonus,Income,27393.0
2023-08-05,,Expense,1187.0
2023-02-22,Monthly Salary,Income,23425.0
15-03-2023,Uber Ride,Expense,5747.0
2023-11-18,Bonus,Income,37925.0
2023-02-21,Medical Store,Expense,910.0
2023-03-13,Freelance Payment,Income,51222.0
20-12-2023,Cashback,Income,47345.0
2023-04-07,Fuel Payment,Expense,4374.0
2023-05-04,Bonus,Income,24777.0
2023-03-09,Monthly Salary,Income,51480.0
07-02-2023,Movie Tickets,Expense,4058.0
2023-09-17,Monthly Salary,Income,62163.0
2023-11-24,Amazon Purchase,Expense,875.0
2023-03-21,Freelance Payment,Income,36633.0
2023-06-08,Refund,Income,18665.0
2023-03-01,Swiggy Order,Expense,3759.0
03-03-2023,Refund,Income,33022.0
2023-09-25,,Income,55443.0
2023-03-02,Netflix Subscription,Expense,2401.0
2023-12-31,Freelance Payment,Income,44465.0
2023-10-18,Cashback,Income,75484.0
2023-04-27,Cashback,Income,25117.0
2023-07-06,Monthly Salary,Income,71835.0
2023-04-25,Monthly Salary,Income,64967.0
2023-03-03,Freelance Payment,Income,58864.0
2023-02-05,Movie Tickets,Expense,3484.0
22-08-2023,Electricity Bill,Expense,4730.0
2023-08-26,Freelance Payment,Income,41795.0
2023-05-06,Fuel Payment,Expense,4677.0
2023-12-22,,Expense,5409.0
2023-02-23,,Expense,2719.0
2023-12-31,Swiggy Order,Expense,1366.0
2023-08-23,Cashback,Income,58823.0
2023-02-08,Bonus,Income,61688.0
2023-06-11,Bonus,Income,44208.0
30-04-2023,Freelance Payment,Income,45645.0
2023-03-26,Cashback,Income,23848.0
2023-08-20,Freelance Payment,Income,37215.0
2023-12-27,Bonus,Income,49874.0
2023-07-02,Freelance Payment,Income,42534.0
2023-08-20,Bonus,Income,63004.0
04-03-2023,Monthly Salary,Income,28322.0
2023-07-10,Uber Ride,Expense,3481.0
2023-01-12,Grocery Store,Expense,814.0
04-03-2023,Bonus,Income,53456.0
12-09-2023,Cashback,Income,61773.0
2023-05-24,Fuel Payment,Expense,2452.0
2023-09-13,Cashback,Income,48680.0
2023-04-13,Freelance Payment,Income,64949.0
2023-07-03,Movie Tickets,Expense,3333.0
2023-05-19,Grocery Store,Expense,3381.0
2023-09-29,Freelance Payment,Income,71824.0
2023-05-17,Bonus,Income,41608.0
2023-07-01,Fuel Payment,Expense,3381.0
2023-07-03,Fuel Payment,Expense,5914.0
2023-09-10,Cashback,Income,34672.0
2023-01-11,Monthly Salary,Income,38679.0
2023-04-01,Bonus,Income,54663.0
2023-03-14,Swiggy Order,Expense,5972.0
2023-07-22,Zomato Order,Expense,5624.0
2023-11-24,Bonus,Income,67261.0
2023-04-25,Cashback,Income,56769.0
2023-12-26,Electricity Bill,Expense,214.0
2023-11-10,Cashback,Income,51709.0
2023-05-02,Bonus,Income,20198.0
17-08-2023,Monthly Salary,Income,54007.0
01-01-2023,Freelance Payment,Income,24160.0
2023-07-13,Bonus,Income,74629.0
2023-03-25,Cashback,Income,39567.0
2023-02-07,Swiggy Order,Expense,1057.0
2023-06-23,Zomato Order,Expense,962.0
2023-11-07,Monthly Salary,Income,31626.0
2023-12-23,Bonus,Income,63645.0
2023-01-26,Electricity Bill,Expense,985.0
2023-02-14,Monthly Salary,Income,66047.0
2023-03-29,Fuel Payment,Expense,1895.0
2023-08-30,Zomato Order,Expense,3456.0
2023-07-15,Movie Tickets,Expense,3239.0
16-10-2023,Interest Received,Income,45200.0
2023-07-31,Zomato Order,Expense,4635.0
2023-10-02,Interest Received,Income,64870.0
2023-07-22,Fuel Payment,Expense,846.0
2023-11-14,Movie Tickets,Expense,5750.0
06-03-2023,Uber Ride,Expense,1778.0
2023-11-01,Bonus,Income,29382.0
2023-07-23,Zomato Order,Expense,4757.0
2023-10-28,Swiggy Order,Expense,5304.0
2023-02-24,Bonus,Income,23133.0
2023-05-16,Cashback,Income,63856.0
2023-03-15,Monthly Salary,Income,62818.0
2023-12-20,Amazon Purchase,Expense,2915.0
2023-06-05,Netflix Subscription,Expense,
2023-03-10,Zomato Order,Expense,2067.0
2023-11-06,Netflix Subscription,Expense,3614.0
2023-07-11,Interest Received,Income,77698.0
2023-03-11,Freelance Payment,Income,62872.0
2023-01-30,Bonus,Income,36309.0
2023-08-26,Refund,Income,58280.0
2023-11-01,Monthly Salary,Income,74066.0
2023-05-13,Movie Tickets,Expense,1539.0
2023-04-20,Amazon Purchase,Expense,4887.0
2023-01-11,Freelance Payment,Income,77276.0
2023-03-30,Medical Store,Expense,5503.0
2023-08-05,Freelance Payment,Income,46094.0
2023-09-24,Fuel Payment,Expense,5747.0
2023-10-15,Cashback,Income,59051.0
2023-05-22,Monthly Salary,Income,54077.0
2023-05-04,Electricity Bill,Expense,4437.0
2023-12-15,Grocery Store,Expense,2818.0
2023-07-27,Freelance Payment,Income,64862.0
2023-04-24,Cashback,Income,54979.0
2023-03-29,Refund,Income,49347.0
2023-10-14,Zomato Order,Expense,2318.0
2023-07-01,Freelance Payment,Income,39131.0
2023-05-31,Netflix Subscription,Expense,4996.0
2023-08-30,Refund,Income,19334.0
2023-01-28,Interest Received,Income,64146.0
2023-03-15,Freelance Payment,Income,69974.0
2023-06-10,Medical Store,Expense,1648.0
2023-09-08,Bonus,Income,30766.0
2023-08-08,Amazon Purchase,Expense,3504.0
2023-06-14,Bonus,Income,11845.0
2023-05-08,,Income,
2023-06-06,Zomato Order,Expense,5022.0
2023-11-02,Electricity Bill,Expense,4462.0
2023-07-03,Bonus,Income,74248.0
2023-04-25,Interest Received,Income,
2023-07-07,Cashback,Income,26143.0
2023-01-25,Electricity Bill,Expense,5304.0
2023-08-02,Monthly Salary,Income,25176.0
2023-06-04,Refund,Income,11219.0
2023-08-03,Cashback,Income,27978.0
2023-09-12,Monthly Salary,Income,23928.0
2023-12-27,Cashback,Income,56913.0
2023-06-19,Bonus,Income,73001.0
2023-03-18,Monthly Salary,Income,74763.0
2023-04-29,Zomato Order,Expense,5478.0
2023-01-21,Swiggy Order,Expense,1631.0
24-01-2023,Interest Received,Income,22451.0
2023-11-15,Freelance Payment,Income,67372.0
2023-07-24,Netflix Subscription,Expense,3483.0
2023-02-27,Interest Received,Income,31860.0
2023-09-05,Uber Ride,Expense,5039.0
2023-01-15,Amazon Purchase,Expense,5208.0
2023-02-27,Uber Ride,Expense,4198.0
2023-10-23,Refund,Income,78788.0
2023-08-10,Freelance Payment,Income,22483.0
2023-10-13,Refund,Income,29484.0
2023-08-29,,Income,76265.0
23-05-2023,Medical Store,Expense,2910.0
2023-08-24,Interest Received,Income,20332.0
2023-09-12,Interest Received,Income,25559.0
2023-02-16,Monthly Salary,Income,10022.0
2023-12-10,Movie Tickets,Expense,5562.0
2023-10-14,Bonus,Income,53512.0
2023-02-19,Freelance Payment,Income,24945.0
2023-10-08,Refund,Income,48270.0
2023-02-24,Uber Ride,Expense,3552.0
2023-06-23,Interest Received,Income,34979.0
2023-08-23,Refund,Income,69048.0
2023-01-25,Medical Store,Expense,
2023-12-21,Cashback,Income,33226.0
2023-06-14,Amazon Purchase,Expense,5165.0
2023-07-23,Refund,Income,45860.0
2023-12-25,Uber Ride,Expense,5135.0
2023-04-13,Cashback,Income,38487.0
2023-04-02,Uber Ride,Expense,5525.0
2023-09-03,Zomato Order,Expense,4806.0
2023-01-07,Movie Tickets,Expense,3660.0
2023-03-24,Refund,Income,44993.0
2023-04-15,Swiggy Order,Expense,2617.0
2023-11-28,Monthly Salary,Income,39400.0
2023-07-15,Refund,Income,16157.0
2023-01-07,Netflix Subscription,Expense,640.0
2023-10-29,Interest Received,Income,58200.0
16-12-2023,Bonus,Income,33255.0
2023-05-23,Zomato Order,Expense,3710.0
2023-08-27,Freelance Payment,Income,
2023-09-09,Freelance Payment,Income,49472.0
2023-04-05,Refund,Income,38830.0
2023-06-28,Movie Tickets,Expense,953.0
2023-09-01,Freelance Payment,Income,79533.0
2023-08-17,Swiggy Order,Expense,3034.0
2023-07-15,Bonus,Income,52065.0
2023-09-22,Movie Tickets,Expense,402.0
2023-11-30,Interest Received,Income,48854.0
2023-01-04,Bonus,Income,79888.0
2023-02-23,Bonus,Income,65601.0
2023-12-18,Amazon Purchase,Expense,790.0
2023-05-09,Monthly Salary,Income,33329.0
2023-11-19,Freelance Payment,Income,69129.0
27-10-2023,Monthly Salary,Income,18288.0
2023-06-04,Movie Tickets,Expense,5818.0
2023-08-31,Interest Received,Income,14039.0
2023-06-02,Cashback,Income,28884.0
2023-10-11,Netflix Subscription,Expense,291.0
2023-06-06,Cashback,Income,21157.0
2023-09-20,Fuel Payment,Expense,5491.0
2023-12-10,Freelance Payment,Income,33770.0
2023-02-07,Movie Tickets,Expense,4702.0
2023-07-02,Refund,Income,53365.0
2023-06-12,Grocery Store,Expense,1785.0
2023-06-11,Refund,Income,57774.0
2023-05-22,Bonus,Income,67163.0
2023-06-06,Interest Received,Income,57020.0
2023-10-03,Monthly Salary,Income,28350.0
20-11-2023,Zomato Order,Expense,4354.0
2023-10-10,Cashback,Income,14804.0
2023-10-29,Uber Ride,Expense,2029.0
15-09-2023,Cashback,Income,57692.0
2023-03-13,Cashback,Income,77388.0
2023-09-05,Refund,Income,29162.0
30-04-2023,Bonus,Income,58422.0
24-01-2023,Freelance Payment,Income,69591.0
2023-05-15,Cashback,Income,45847.0
2023-09-22,Interest Received,Income,20202.0
2023-09-07,Amazon Purchase,Expense,3026.0
2023-03-26,,Expense,3803.0
2023-11-05,Bonus,Income,57477.0
2023-12-12,Freelance Payment,Income,73113.0
2023-01-23,Interest Received,Income,
2023-01-29,Cashback,Income,29249.0
23-11-2023,Amazon Purchase,Expense,4817.0
2023-08-18,Electricity Bill,Expense,1974.0
2023-10-26,Bonus,Income,28705.0
2023-08-21,Freelance Payment,Income,54914.0
2023-09-25,Bonus,Income,36522.0
2023-09-01,Bonus,Income,33255.0
2023-02-17,Cashback,Income,25403.0
2023-09-25,Monthly Salary,Income,66557.0
